School Name,Emailid,Phone number,Physical Meet up,Comments,Email,1st Call,2nd call 11/10/25,3rd Call 13th oct,Status,New Mail & Msg,Status,4th Call 15th oct,5th Call 16th oct,6th Call 22nd oct,7h Call 23rd oct, 25th oct,
Siliguri Model High School,"
smhssdmt87@gmail.com / info@siligurimodelhighschool.com",9832458945 Sikhe banik,25/09/25,"Met the VP said she might send, need to follow up to confirm Sikhe banking",Mail sent," Not coming for BIZNEX because they have an event on 25th, mail has to be sent for business lab",,,,,,,,,,,
Delhi Public School Fulbari,info@dpsfulbarisiliguri.com,Rekha Ma'am - 9933307999,25/09/25,"Spoke to the principal, she said she shall send the students, mail needs to be sent along with renewed dates",Mail sent,,,,,sgee ,,"Spoke to Rekha maam; said that principal
is out of station and she is in a meet
so she asked to ring her up 
tomorrow at around 9:30-10am",,"rekha maam picked, and then phone switched off",did not receive - rekha maam,,
D.A.V School,info@davsiliguri.com / www.davsiliguri.com / davsiliguri_hm@yahoo.co.in,8101913102 miss shweta/ Abhijeet sir - 9832228915,25/09/2025,"She said she shall see, all the details have been handed over, now soft copies needs to be sent along with the renewed date",Mail sent,Did not recieve ,Did not  recieve,,,Sent,,,"Abhijeet sir is from DPS
Not picking the call-shweta mam","shweta maam did not receive
msg sent",did not receive - shweta maam,,
Dps Ethlbari,dpsdooars@gmail.com,,,,,,,,,,,,,,,,
Olivia,"info@oliviaschool.com
oliviaenlightenedschool@gmail.com","Aman sir 
8250517785- Sudeksha maam",,Von,,,,,,,,,Mail & msg sent,,"students have been communicated but 
no response; they will be back after chhath puja
are on holiday",brochure and msg sent to sudeksha maam,"spoke to students of class 11
and 12, till now they are
not interested, may be by tomorow
if they submit, she will let me know"
Sunshine,sunshineschool_1992@rediffmail.com,,,,,,,,,,,,,,,,
Saptashree,info@saptashrikalimpong.com,Ritesh sir ,,,,,,,,,,,,,,,
Don Bosco Oodlabari,dbsoodlabari@gmail.com,Ganesh sir - 9832363115,,8th oct,Mail sent,"Had called back, informed him about the BIZNEX and to revert by 15th , also spoke to him on the business Lab if it works, said he shall convey it to father and shall let us know","Informed him on the date change, shall let us know if there participants",,,Sent,,"No participants have submitted their names
if any he will let me know by tomorrow",,,,,
Army Public School Binnaguri,apsbinnaguri1@gmail.com,"Subham sir 9434117931
Manash Bakshi - 9734152702",,8th oct,Mail sent,"Spoke to him, need to send a mail, confirmed he shall revert back by tomorrow","Informed him, planning the teams and shall revert by 15th",,,,,,Manash Bakshi sir submitted the names,,,"msg for reshufling students from class 12, and 
detailed brochure sent-  manash sir
he will talk to the students and let me know",received numbers
Caesar ,schoolcaesar@gmail.com,Anand sir 9547823581,,8th oct,"Mail sent, asked for his whatsapp no.","School reopening on 23rd, however he shall convey it to the school and if possible get the students to individually enroll themselves , he has asked me to Send the details over whatsapp","Informed him about the change of dates, since the school is closed atm, details regarding the festival has been forwards to him on his personal no. As well",,,Sent,,,,,did not receive,brochure and msg sent to anand sir,
St.James binnaguri,sjsbinnaguri@rediffmail.com,"Mrinmoy 9641838262/ miss Shruti 9932663727 Subhomoy 9733148704 / Binay sir 9832451313
Vermic sir 8967583802",,8th oct,Mail sent,"Wanted a mail to be sent, which we already hav sent, shall convey it to the principal","They didn't know about the mail, so we have communicated with them over call and have informed them about the change of dates, so once confirmed they shall revert if there are any participation ",,,Sent,,,"Binay Sir did not pick
Shruti maam said she will speak to the coordinator 
and inform us
Binay sir gave a no of vermic and tol to call 
tomorrow around 9 amand ask him that i want 
to talk to the secratary","told to call on 25th
school closed for a week",,,
St Michaels,,,,9th oct,,,,,,,,,,,,,
Army Sukna,,9434376368,,,,,,,,,,,,,,,
Lincoln's school,"lhskbmp@gmail.com
 lincolnskbmp@gmail.com",9832422732,,,,,,,,,,,Mail sent,,did not receive,,
Isabella,isabellaschoolslg@gmail.com,Sonu sir - 9002489299,,,,,,,,,,,"Mail & msg sent
Sonu sir messaged he will call me for the same",,"sonu sir said he will call me back
told me to ping him, he will send 
principals number

next day: Spoke to the principal of Isabella, 
she said they are on holiday, 
will reopen on 29th, 
so she will revert back 
by 29-30 if they will participate",brochure and msg sent to principal chanda maam,not participatinhg
Royal Academy,royalacademy.matigara1993@gmail.com,Aashiq Mohommad Sir - 6295027740,,,,,,,,,,,,,"1st call - ashiq sir will revert back later, after
school reopens on 29th
he has few names for bgmi for know",brochure and msg sent,did not recieve
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,HIJU BELKA CALL GOYO MOSTLY DID NOT RECIEVED  ,,,,,,,,,,,,,,,
,,WHATSAPP MESSAGE LEFT,,,,,,,,,,,,,,,
,,MAIL COULDNT DELIVERD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Nirmala,Narayana,OOdlabari, Birla,Darjeeling public,",,,,,,,,,,,,,,,,,
Nirmala- sister is out of station so the receptionist shall find out and let us know by tomorrow,,,,,,,,,,,,,,,,,
Sri Sri communicated with Gargi ma'am we asked for the list but she said that she will give our no. To the commerce HOD and she shall contact us,,,,,,,,,,,,,,,,,
DPS Fulbari Rekha ma'am couldn't find the mail so we have send her the mail again and dropped a text informing her that a mail on so and so ID has been sent,,,,,,,,,,,,,,,,,
"APS Binnaguri spoke to Subham sir, said he is  out of station but shall communicate in school and try to have the list sent by today ",,,,,,,,,,,,,,,,,
St ,,,,,,,,,,,,,,,,,
